characteristics,trial,arm,mean,sd,type,n
sex_female,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.408906883,NA,categorical,247
sex_male,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.591093117,NA,categorical,247
race_white,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.91902834,NA,categorical,247
race_race_other,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.08097166,NA,categorical,247
geo_australia_new_zealand,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
geo_europe,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.736842105,NA,categorical,247
geo_north_americas,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.101214575,NA,categorical,247
geo_other,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.16194332,NA,categorical,247
ethnicity_hispanic_latino,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
ethnicity_not_hispanic_latino,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
smoke_current_former_smoker,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
smoke_never_smoked,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
ecog_ecog_0,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.744939271,NA,categorical,247
ecog_ecog_1,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.238866397,NA,categorical,247
ecog_missing,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.016194332,NA,categorical,247
baseline_met_stage_m0,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.085020243,NA,categorical,247
baseline_met_stage_m1a,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.16194332,NA,categorical,247
baseline_met_stage_m1b,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.16194332,NA,categorical,247
baseline_met_stage_m1c,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.591093117,NA,categorical,247
baseline_met_stage_m1d,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0,NA,categorical,247
baseline_met_stage_m01a,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.246963563,NA,categorical,247
baseline_met_stage_m01a1b,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.408906883,NA,categorical,247
baseline_met_stage_m1c1d,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.591093117,NA,categorical,247
ldh_cat_ldh_great_uln,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.453441296,NA,categorical,247
ldh_cat_ldh_lower_equal_uln,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.527103452,NA,categorical,247
ldh_cat_ldh_missing,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.019455253,NA,categorical,247
ldh_cat2_ldh_great_2xuln,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
bmhist_history_of_brain_metastases,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.004048583,NA,categorical,247
bmhist_no_history_of_brain_metastases,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.995951417,NA,categorical,247
n_disease_sites_n_disease_sites_eql_above_3,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
n_disease_sites_n_disease_sites_below_3,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_antineoplastic_not_received,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_antineoplastic_received,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_anti_ctla4,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_anti_pd1,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_combo_anti_ctla4_anti_pd1,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_combo_braf_mek_nras_inhibitor,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_interferon,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
prior_treatment_investigational_antineoplastic_agents,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
immunotherapy,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
ORR_investigator,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.696356275,NA,categorical,247
age_below_56,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.5,NA,categorical,247
metsite_non_visceral,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
metsite_visceral,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
metsite_visceral_disease_status_not_report,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),NA,NA,categorical,247
AE_any,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.991935484,NA,categorical,248
AE_g3,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.758064516,NA,categorical,248
AE_disc,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.27016129,NA,categorical,248
ae_rash,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.419354839,NA,categorical,248
ae_diarrhoea,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.612903226,NA,categorical,248
ae_fatigue,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.375,NA,categorical,248
ae_arthralgia,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.387096774,NA,categorical,248
ae_pruritus,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.205645161,NA,categorical,248
TRAE_any,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.991935484,NA,categorical,248
TRAE_g3,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.758064516,NA,categorical,248
TRAE_disc,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.27016129,NA,categorical,248
TRAE_rash,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.419354839,NA,categorical,248
TRAE_diarrhoea,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.612903226,NA,categorical,248
TRAE_fatigue,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.375,NA,categorical,248
TRAE_arthralgia,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.387096774,NA,categorical,248
TRAE_pruritus,coBRIM,Cobimetinib + vemurafenib (Ascierto 2021),0.205645161,NA,categorical,248
